Bezig: 5 sec, ETA: 496 sec, Simulatie: 250, Validation: -0.8, Cijfer: -5.9, Batch Size 64, Epsilon: 0.96, ID: x2b81222, penalty: 1.2, loss: 15.6,aantal experiences: 5773
Bezig: 10 sec, ETA: 472 sec, Simulatie: 500, Validation: -3.6, Cijfer: -1.8, Batch Size 64, Epsilon: 0.93, ID: xbcc2181e3, penalty: 0.4, loss: 17.8,aantal experiences: 11523
Bezig: 14 sec, ETA: 456 sec, Simulatie: 750, Validation: -1.3, Cijfer: -10.8, Batch Size 64, Epsilon: 0.89, ID: xad823841, penalty: 1.4, loss: 20.2,aantal experiences: 17273
Bezig: 19 sec, ETA: 451 sec, Simulatie: 1000, Validation: -1.4, Cijfer: -10.6, Batch Size 64, Epsilon: 0.86, ID: x48617816, penalty: 1.4, loss: 17.1,aantal experiences: 23023
Bezig: 23 sec, ETA: 444 sec, Simulatie: 1250, Validation: 1.2, Cijfer: -7.8, Batch Size 64, Epsilon: 0.83, ID: x1ac2584, penalty: 1.3, loss: 26.1,aantal experiences: 28773
Bezig: 28 sec, ETA: 436 sec, Simulatie: 1500, Validation: -0.2, Cijfer: 2.1, Batch Size 64, Epsilon: 0.8, ID: xa18258183, penalty: 0.4, loss: 17.4,aantal experiences: 34523
Bezig: 32 sec, ETA: 429 sec, Simulatie: 1750, Validation: -1.1, Cijfer: 2.2, Batch Size 64, Epsilon: 0.77, ID: x35c16163, penalty: 0.3, loss: 11.3,aantal experiences: 40273
Bezig: 37 sec, ETA: 424 sec, Simulatie: 2000, Validation: -1.5, Cijfer: -2.4, Batch Size 64, Epsilon: 0.74, ID: x39228c, penalty: 0.9, loss: 17.1,aantal experiences: 46023
Bezig: 41 sec, ETA: 418 sec, Simulatie: 2250, Validation: 0.5, Cijfer: 5.8, Batch Size 64, Epsilon: 0.71, ID: x6214a3, penalty: 0.3, loss: 16.5,aantal experiences: 51773
Bezig: 46 sec, ETA: 412 sec, Simulatie: 2500, Validation: 0.2, Cijfer: -0.6, Batch Size 64, Epsilon: 0.69, ID: xc6341e2, penalty: 0.6, loss: 17.5,aantal experiences: 57523
Bezig: 50 sec, ETA: 407 sec, Simulatie: 2750, Validation: -1.7, Cijfer: -2.1, Batch Size 64, Epsilon: 0.66, ID: x2843581e2, penalty: 0.7, loss: 12.1,aantal experiences: 63273
Bezig: 55 sec, ETA: 402 sec, Simulatie: 3000, Validation: -0.6, Cijfer: -9.5, Batch Size 64, Epsilon: 0.64, ID: xc921281a3, penalty: 1.3, loss: 17.1,aantal experiences: 69023
Bezig: 59 sec, ETA: 397 sec, Simulatie: 3250, Validation: -0.9, Cijfer: -12.5, Batch Size 64, Epsilon: 0.61, ID: x49e2381a, penalty: 1.3, loss: 15.3,aantal experiences: 74773
Bezig: 64 sec, ETA: 392 sec, Simulatie: 3500, Validation: -1.8, Cijfer: -4.2, Batch Size 64, Epsilon: 0.59, ID: xcfc21181, penalty: 0.7, loss: 13.5,aantal experiences: 80523
Bezig: 68 sec, ETA: 387 sec, Simulatie: 3750, Validation: -2.9, Cijfer: -8.3, Batch Size 64, Epsilon: 0.57, ID: x973781e, penalty: 0.9, loss: 21.2,aantal experiences: 86273
Bezig: 73 sec, ETA: 382 sec, Simulatie: 4000, Validation: -3.7, Cijfer: -1.2, Batch Size 64, Epsilon: 0.55, ID: x99225841, penalty: 0.8, loss: 16.2,aantal experiences: 92023
Bezig: 77 sec, ETA: 377 sec, Simulatie: 4250, Validation: -1.9, Cijfer: -2.3, Batch Size 64, Epsilon: 0.53, ID: x51a321c, penalty: 0.6, loss: 18.0,aantal experiences: 97773
Bezig: 82 sec, ETA: 372 sec, Simulatie: 4500, Validation: -1.0, Cijfer: -1.2, Batch Size 64, Epsilon: 0.51, ID: xa241143, penalty: 0.7, loss: 19.0,aantal experiences: 100000
Bezig: 86 sec, ETA: 367 sec, Simulatie: 4750, Validation: -0.9, Cijfer: 4.7, Batch Size 64, Epsilon: 0.49, ID: xb242423, penalty: 0.2, loss: 23.0,aantal experiences: 100000
Bezig: 91 sec, ETA: 364 sec, Simulatie: 5000, Validation: 0.7, Cijfer: 2.2, Batch Size 64, Epsilon: 0.47, ID: x8a21222, penalty: 0.7, loss: 21.0,aantal experiences: 100000
Bezig: 96 sec, ETA: 359 sec, Simulatie: 5250, Validation: 2.1, Cijfer: 3.8, Batch Size 64, Epsilon: 0.45, ID: x8114, penalty: 0.4, loss: 18.7,aantal experiences: 100000
Bezig: 100 sec, ETA: 355 sec, Simulatie: 5500, Validation: 0.4, Cijfer: 2.3, Batch Size 64, Epsilon: 0.44, ID: x222121, penalty: 0.7, loss: 16.0,aantal experiences: 100000
Bezig: 105 sec, ETA: 350 sec, Simulatie: 5750, Validation: 1.5, Cijfer: 1.3, Batch Size 64, Epsilon: 0.42, ID: x148381, penalty: 0.4, loss: 17.9,aantal experiences: 100000
Bezig: 109 sec, ETA: 345 sec, Simulatie: 6000, Validation: 0.3, Cijfer: 3.1, Batch Size 64, Epsilon: 0.41, ID: x224, penalty: 0.2, loss: 23.8,aantal experiences: 100000
Bezig: 113 sec, ETA: 340 sec, Simulatie: 6250, Validation: 2.6, Cijfer: 4.2, Batch Size 64, Epsilon: 0.39, ID: x4a4181, penalty: 0.4, loss: 16.7,aantal experiences: 100000
Bezig: 118 sec, ETA: 336 sec, Simulatie: 6500, Validation: 2.1, Cijfer: 3.4, Batch Size 64, Epsilon: 0.38, ID: x4a4a3, penalty: 0.3, loss: 16.1,aantal experiences: 100000
Bezig: 123 sec, ETA: 331 sec, Simulatie: 6750, Validation: 1.8, Cijfer: 0.5, Batch Size 64, Epsilon: 0.36, ID: x21811, penalty: 0.8, loss: 7.3,aantal experiences: 100000
Bezig: 127 sec, ETA: 327 sec, Simulatie: 7000, Validation: 1.4, Cijfer: -3.3, Batch Size 64, Epsilon: 0.35, ID: x8d588, penalty: 1.0, loss: 14.4,aantal experiences: 100000
Bezig: 132 sec, ETA: 322 sec, Simulatie: 7250, Validation: 2.5, Cijfer: 0.7, Batch Size 64, Epsilon: 0.34, ID: x13448, penalty: 0.7, loss: 8.8,aantal experiences: 100000
Bezig: 136 sec, ETA: 318 sec, Simulatie: 7500, Validation: 0.9, Cijfer: -0.3, Batch Size 64, Epsilon: 0.32, ID: x462, penalty: 1.4, loss: 15.4,aantal experiences: 100000
Bezig: 141 sec, ETA: 313 sec, Simulatie: 7750, Validation: 2.0, Cijfer: -1.2, Batch Size 64, Epsilon: 0.31, ID: x2824143, penalty: 0.9, loss: 13.4,aantal experiences: 100000
Bezig: 145 sec, ETA: 308 sec, Simulatie: 8000, Validation: 1.7, Cijfer: 2.8, Batch Size 64, Epsilon: 0.3, ID: x142, penalty: 0.5, loss: 8.3,aantal experiences: 100000
Bezig: 150 sec, ETA: 304 sec, Simulatie: 8250, Validation: 2.3, Cijfer: -1.5, Batch Size 64, Epsilon: 0.29, ID: x1a, penalty: 1.3, loss: 6.7,aantal experiences: 100000
Bezig: 154 sec, ETA: 300 sec, Simulatie: 8500, Validation: 1.9, Cijfer: 3.1, Batch Size 64, Epsilon: 0.28, ID: xa, penalty: 0.4, loss: 4.9,aantal experiences: 100000
Bezig: 159 sec, ETA: 295 sec, Simulatie: 8750, Validation: 2.1, Cijfer: -1.3, Batch Size 64, Epsilon: 0.27, ID: x81, penalty: 1.4, loss: 5.9,aantal experiences: 100000
Bezig: 164 sec, ETA: 291 sec, Simulatie: 9000, Validation: 2.4, Cijfer: 0.9, Batch Size 64, Epsilon: 0.26, ID: x182c, penalty: 0.8, loss: 3.0,aantal experiences: 100000
Bezig: 168 sec, ETA: 286 sec, Simulatie: 9250, Validation: 2.1, Cijfer: 3.3, Batch Size 64, Epsilon: 0.25, ID: x1221, penalty: 0.5, loss: 3.2,aantal experiences: 100000
Bezig: 173 sec, ETA: 282 sec, Simulatie: 9500, Validation: 1.2, Cijfer: 1.4, Batch Size 64, Epsilon: 0.24, ID: x2811, penalty: 0.6, loss: 3.6,aantal experiences: 100000
Bezig: 177 sec, ETA: 277 sec, Simulatie: 9750, Validation: 0.7, Cijfer: 2.8, Batch Size 64, Epsilon: 0.23, ID: x8413, penalty: 0.3, loss: 2.1,aantal experiences: 100000
Bezig: 182 sec, ETA: 272 sec, Simulatie: 10000, Validation: 1.3, Cijfer: 1.5, Batch Size 64, Epsilon: 0.22, ID: x512, penalty: 0.4, loss: 2.0,aantal experiences: 100000
Bezig: 186 sec, ETA: 268 sec, Simulatie: 10250, Validation: 3.2, Cijfer: -0.2, Batch Size 64, Epsilon: 0.21, ID: x21, penalty: 1.1, loss: 2.6,aantal experiences: 100000
Bezig: 191 sec, ETA: 263 sec, Simulatie: 10500, Validation: 2.2, Cijfer: 4.8, Batch Size 64, Epsilon: 0.21, ID: x19241, penalty: 0.2, loss: 2.0,aantal experiences: 100000
Bezig: 195 sec, ETA: 259 sec, Simulatie: 10750, Validation: 2.9, Cijfer: 1.0, Batch Size 64, Epsilon: 0.2, ID: x24, penalty: 1.4, loss: 3.2,aantal experiences: 100000
Bezig: 199 sec, ETA: 254 sec, Simulatie: 11000, Validation: 2.1, Cijfer: 0.2, Batch Size 64, Epsilon: 0.19, ID: x48, penalty: 0.8, loss: 2.7,aantal experiences: 100000
Bezig: 204 sec, ETA: 249 sec, Simulatie: 11250, Validation: 1.7, Cijfer: 1.4, Batch Size 64, Epsilon: 0.18, ID: x21, penalty: 0.3, loss: 2.0,aantal experiences: 100000
Bezig: 209 sec, ETA: 245 sec, Simulatie: 11500, Validation: 2.7, Cijfer: 0.4, Batch Size 64, Epsilon: 0.18, ID: x152, penalty: 1.1, loss: 1.1,aantal experiences: 100000
Bezig: 213 sec, ETA: 240 sec, Simulatie: 11750, Validation: 1.2, Cijfer: 1.3, Batch Size 64, Epsilon: 0.17, ID: x82, penalty: 1.2, loss: 2.0,aantal experiences: 100000
Bezig: 218 sec, ETA: 236 sec, Simulatie: 12000, Validation: 0.8, Cijfer: 1.2, Batch Size 64, Epsilon: 0.17, ID: x, penalty: 0.5, loss: 2.0,aantal experiences: 100000
Bezig: 222 sec, ETA: 231 sec, Simulatie: 12250, Validation: 0.7, Cijfer: 2.1, Batch Size 64, Epsilon: 0.16, ID: x8, penalty: 0.2, loss: 1.2,aantal experiences: 100000
Bezig: 227 sec, ETA: 227 sec, Simulatie: 12500, Validation: 2.2, Cijfer: 0.6, Batch Size 64, Epsilon: 0.15, ID: x81, penalty: 1.0, loss: 1.5,aantal experiences: 100000
Bezig: 232 sec, ETA: 222 sec, Simulatie: 12750, Validation: 1.0, Cijfer: 1.1, Batch Size 64, Epsilon: 0.15, ID: x1, penalty: 0.2, loss: 1.6,aantal experiences: 100000
Bezig: 236 sec, ETA: 218 sec, Simulatie: 13000, Validation: 1.0, Cijfer: 1.6, Batch Size 64, Epsilon: 0.14, ID: x148, penalty: 0.8, loss: 1.3,aantal experiences: 100000
Bezig: 241 sec, ETA: 213 sec, Simulatie: 13250, Validation: 0.7, Cijfer: 1.3, Batch Size 64, Epsilon: 0.14, ID: x, penalty: 1.0, loss: 0.8,aantal experiences: 100000
Bezig: 245 sec, ETA: 209 sec, Simulatie: 13500, Validation: 1.0, Cijfer: 1.2, Batch Size 64, Epsilon: 0.13, ID: x, penalty: 0.7, loss: 1.3,aantal experiences: 100000
