Bezig: 29 sec, ETA: 571 sec, Simulatie: 250, Validation: -1.0, Cijfer: -6.1, Batch Size 64, Epsilon: 0.96, ID: x48681c1, penalty: 1.5, loss: 15.47, aantal experiences: 5773
Bezig: 34 sec, ETA: 566 sec, Simulatie: 500, Validation: -2.0, Cijfer: -3.4, Batch Size 64, Epsilon: 0.93, ID: x7ca168181, penalty: 0.7, loss: 18.32, aantal experiences: 11523
Bezig: 38 sec, ETA: 562 sec, Simulatie: 750, Validation: -2.0, Cijfer: 2.0, Batch Size 64, Epsilon: 0.89, ID: x92381a3, penalty: 0.6, loss: 13.11, aantal experiences: 17273
Bezig: 43 sec, ETA: 557 sec, Simulatie: 1000, Validation: 0.9, Cijfer: -1.3, Batch Size 64, Epsilon: 0.86, ID: x68328123, penalty: 0.8, loss: 15.0, aantal experiences: 23023
Bezig: 47 sec, ETA: 553 sec, Simulatie: 1250, Validation: 2.2, Cijfer: -4.3, Batch Size 64, Epsilon: 0.83, ID: xc671, penalty: 1.2, loss: 17.85, aantal experiences: 28773
Bezig: 52 sec, ETA: 548 sec, Simulatie: 1500, Validation: 0.1, Cijfer: -9.8, Batch Size 64, Epsilon: 0.8, ID: x681481e3, penalty: 1.4, loss: 12.1, aantal experiences: 34523
Bezig: 56 sec, ETA: 544 sec, Simulatie: 1750, Validation: 2.3, Cijfer: -4.5, Batch Size 64, Epsilon: 0.77, ID: x22461c, penalty: 1.4, loss: 14.8, aantal experiences: 40273
Bezig: 61 sec, ETA: 539 sec, Simulatie: 2000, Validation: 1.1, Cijfer: -7.1, Batch Size 64, Epsilon: 0.74, ID: x18c78142, penalty: 1.3, loss: 12.76, aantal experiences: 46023
Bezig: 65 sec, ETA: 535 sec, Simulatie: 2250, Validation: 2.4, Cijfer: 5.8, Batch Size 64, Epsilon: 0.71, ID: xa128122, penalty: 0.2, loss: 13.21, aantal experiences: 51773
Bezig: 70 sec, ETA: 530 sec, Simulatie: 2500, Validation: 3.0, Cijfer: -0.0, Batch Size 64, Epsilon: 0.69, ID: x9827882, penalty: 0.7, loss: 14.6, aantal experiences: 57523
Bezig: 74 sec, ETA: 526 sec, Simulatie: 2750, Validation: 0.8, Cijfer: -5.7, Batch Size 64, Epsilon: 0.66, ID: x18658122, penalty: 1.2, loss: 12.5, aantal experiences: 63273
