Bezig: 27 sec, ETA: 873 sec, Simulatie: 250, Validation: 1.5, Cijfer: 5.8, Batch Size 64, Epsilon: 0.96, ID: x2d2163, penalty: 0.1, loss: 16.15, aantal experiences: 5773
Bezig: 31 sec, ETA: 869 sec, Simulatie: 500, Validation: -0.0, Cijfer: 5.5, Batch Size 64, Epsilon: 0.93, ID: x9da18161, penalty: 0.2, loss: 14.35, aantal experiences: 11523
Bezig: 36 sec, ETA: 864 sec, Simulatie: 750, Validation: 0.9, Cijfer: -7.3, Batch Size 64, Epsilon: 0.89, ID: x1be8182, penalty: 1.3, loss: 14.87, aantal experiences: 17273
Bezig: 40 sec, ETA: 860 sec, Simulatie: 1000, Validation: -1.8, Cijfer: 0.9, Batch Size 64, Epsilon: 0.86, ID: x12a2482, penalty: 0.6, loss: 11.56, aantal experiences: 23023
Bezig: 45 sec, ETA: 855 sec, Simulatie: 1250, Validation: 0.1, Cijfer: -4.4, Batch Size 64, Epsilon: 0.83, ID: x4be318122, penalty: 0.8, loss: 19.76, aantal experiences: 28773
Bezig: 49 sec, ETA: 851 sec, Simulatie: 1500, Validation: -0.5, Cijfer: -7.3, Batch Size 64, Epsilon: 0.8, ID: x58281e2, penalty: 1.4, loss: 14.1, aantal experiences: 34523
Bezig: 54 sec, ETA: 846 sec, Simulatie: 1750, Validation: -1.3, Cijfer: -4.0, Batch Size 64, Epsilon: 0.77, ID: xbe358143, penalty: 0.6, loss: 16.18, aantal experiences: 40273
Bezig: 58 sec, ETA: 842 sec, Simulatie: 2000, Validation: -0.5, Cijfer: -4.5, Batch Size 64, Epsilon: 0.74, ID: x4de23c, penalty: 0.8, loss: 12.42, aantal experiences: 46023
Bezig: 63 sec, ETA: 837 sec, Simulatie: 2250, Validation: -2.0, Cijfer: -7.5, Batch Size 64, Epsilon: 0.71, ID: xbf4281a1, penalty: 1.1, loss: 16.51, aantal experiences: 51773
Bezig: 67 sec, ETA: 833 sec, Simulatie: 2500, Validation: -0.4, Cijfer: -5.1, Batch Size 64, Epsilon: 0.69, ID: x8ac111a, penalty: 1.2, loss: 13.26, aantal experiences: 57523
Bezig: 72 sec, ETA: 828 sec, Simulatie: 2750, Validation: 2.5, Cijfer: -0.7, Batch Size 64, Epsilon: 0.66, ID: x99c321, penalty: 0.8, loss: 11.83, aantal experiences: 63273
Bezig: 76 sec, ETA: 824 sec, Simulatie: 3000, Validation: -4.2, Cijfer: -4.3, Batch Size 64, Epsilon: 0.64, ID: x3da338163, penalty: 0.7, loss: 20.63, aantal experiences: 69023
