Bezig: 6 sec, ETA: 594 sec, Simulatie: 250, Validation: -1.8, Cijfer: -1.3, Batch Size 64, Epsilon: 0.96, ID: x3ee4221, penalty: 0.7, loss: 6.25, aantal experiences: 7130
Bezig: 11 sec, ETA: 589 sec, Simulatie: 500, Validation: -0.4, Cijfer: 2.8, Batch Size 64, Epsilon: 0.93, ID: xf141248, penalty: 0.3, loss: 6.96, aantal experiences: 14157
Bezig: 17 sec, ETA: 583 sec, Simulatie: 750, Validation: -1.7, Cijfer: -1.2, Batch Size 64, Epsilon: 0.89, ID: x81319241c, penalty: 0.6, loss: 4.89, aantal experiences: 21183
Bezig: 22 sec, ETA: 578 sec, Simulatie: 1000, Validation: -1.2, Cijfer: 0.2, Batch Size 64, Epsilon: 0.86, ID: x834824147, penalty: 0.6, loss: 4.52, aantal experiences: 28232
Bezig: 27 sec, ETA: 573 sec, Simulatie: 1250, Validation: -1.2, Cijfer: 1.0, Batch Size 64, Epsilon: 0.83, ID: x85a4921141, penalty: 0.5, loss: 6.57, aantal experiences: 35315
Bezig: 33 sec, ETA: 567 sec, Simulatie: 1500, Validation: -1.1, Cijfer: 3.4, Batch Size 64, Epsilon: 0.8, ID: x1c21711, penalty: 0.4, loss: 4.01, aantal experiences: 42387
Bezig: 38 sec, ETA: 562 sec, Simulatie: 1750, Validation: 3.1, Cijfer: 4.7, Batch Size 64, Epsilon: 0.77, ID: x2d88147, penalty: 0.2, loss: 4.03, aantal experiences: 49439
Bezig: 43 sec, ETA: 557 sec, Simulatie: 2000, Validation: -0.3, Cijfer: -1.5, Batch Size 64, Epsilon: 0.74, ID: xc3484695, penalty: 0.7, loss: 4.72, aantal experiences: 56464
Bezig: 48 sec, ETA: 552 sec, Simulatie: 2250, Validation: 0.3, Cijfer: 2.7, Batch Size 64, Epsilon: 0.71, ID: x94141, penalty: 0.4, loss: 3.46, aantal experiences: 63528
Bezig: 54 sec, ETA: 546 sec, Simulatie: 2500, Validation: -0.4, Cijfer: 4.1, Batch Size 64, Epsilon: 0.69, ID: xf212188, penalty: 0.4, loss: 3.86, aantal experiences: 70661
Bezig: 59 sec, ETA: 541 sec, Simulatie: 2750, Validation: 2.0, Cijfer: 6.1, Batch Size 64, Epsilon: 0.66, ID: x94948841, penalty: 0.2, loss: 4.27, aantal experiences: 77740
Bezig: 64 sec, ETA: 536 sec, Simulatie: 3000, Validation: 0.3, Cijfer: 2.0, Batch Size 64, Epsilon: 0.64, ID: x81828912, penalty: 0.8, loss: 3.71, aantal experiences: 84768
Bezig: 70 sec, ETA: 530 sec, Simulatie: 3250, Validation: 2.8, Cijfer: 3.4, Batch Size 64, Epsilon: 0.61, ID: x24b15191, penalty: 0.1, loss: 5.3, aantal experiences: 91859
Bezig: 75 sec, ETA: 525 sec, Simulatie: 3500, Validation: 0.9, Cijfer: 0.5, Batch Size 64, Epsilon: 0.59, ID: x844119318, penalty: 0.7, loss: 3.07, aantal experiences: 98907
Bezig: 80 sec, ETA: 520 sec, Simulatie: 3750, Validation: 0.9, Cijfer: 5.5, Batch Size 64, Epsilon: 0.57, ID: xa1144412, penalty: 0.2, loss: 3.61, aantal experiences: 100000
Bezig: 86 sec, ETA: 514 sec, Simulatie: 4000, Validation: 1.8, Cijfer: 0.6, Batch Size 64, Epsilon: 0.55, ID: x68941, penalty: 0.7, loss: 2.94, aantal experiences: 100000
Bezig: 91 sec, ETA: 509 sec, Simulatie: 4250, Validation: 1.9, Cijfer: 1.3, Batch Size 64, Epsilon: 0.53, ID: x231217, penalty: 0.7, loss: 2.62, aantal experiences: 100000
