Bezig: 23 sec, ETA: 577 sec, Simulatie: 250, Validation: 0.1, Cijfer: 4.0, Batch Size 64, Epsilon: 0.96, ID: xe888315419, penalty: 0.1, loss: 6.89, aantal experiences: 7117
Bezig: 29 sec, ETA: 571 sec, Simulatie: 500, Validation: -0.6, Cijfer: -5.4, Batch Size 64, Epsilon: 0.93, ID: x791721541, penalty: 0.7, loss: 4.57, aantal experiences: 14210
Bezig: 34 sec, ETA: 566 sec, Simulatie: 750, Validation: -2.0, Cijfer: -1.1, Batch Size 64, Epsilon: 0.89, ID: x439491311, penalty: 0.6, loss: 4.4, aantal experiences: 21240
Bezig: 39 sec, ETA: 561 sec, Simulatie: 1000, Validation: -2.1, Cijfer: 3.9, Batch Size 64, Epsilon: 0.86, ID: xadca1d13, penalty: 0.3, loss: 4.44, aantal experiences: 28276
Bezig: 44 sec, ETA: 556 sec, Simulatie: 1250, Validation: 1.4, Cijfer: 3.1, Batch Size 64, Epsilon: 0.83, ID: x86328111, penalty: 0.3, loss: 4.88, aantal experiences: 35328
Bezig: 49 sec, ETA: 551 sec, Simulatie: 1500, Validation: -0.0, Cijfer: 2.5, Batch Size 64, Epsilon: 0.8, ID: x932244134, penalty: 0.3, loss: 5.7, aantal experiences: 42386
Bezig: 53 sec, ETA: 547 sec, Simulatie: 1750, Validation: 1.2, Cijfer: 0.9, Batch Size 64, Epsilon: 0.77, ID: x8518524419, penalty: 0.4, loss: 4.18, aantal experiences: 49476
Bezig: 58 sec, ETA: 542 sec, Simulatie: 2000, Validation: 1.9, Cijfer: 2.5, Batch Size 64, Epsilon: 0.74, ID: x9751115, penalty: 0.2, loss: 3.65, aantal experiences: 56551
Bezig: 63 sec, ETA: 537 sec, Simulatie: 2250, Validation: -3.4, Cijfer: 6.0, Batch Size 64, Epsilon: 0.71, ID: x23288c4, penalty: 0.1, loss: 4.19, aantal experiences: 63623
Bezig: 68 sec, ETA: 532 sec, Simulatie: 2500, Validation: 2.0, Cijfer: 5.6, Batch Size 64, Epsilon: 0.69, ID: x11481213, penalty: 0.3, loss: 4.38, aantal experiences: 70707
Bezig: 73 sec, ETA: 527 sec, Simulatie: 2750, Validation: 1.9, Cijfer: 0.4, Batch Size 64, Epsilon: 0.66, ID: xa871121, penalty: 0.7, loss: 2.98, aantal experiences: 77757
Bezig: 78 sec, ETA: 522 sec, Simulatie: 3000, Validation: 0.5, Cijfer: 3.6, Batch Size 64, Epsilon: 0.64, ID: x8546232, penalty: 0.2, loss: 2.73, aantal experiences: 84816
Bezig: 83 sec, ETA: 517 sec, Simulatie: 3250, Validation: 1.9, Cijfer: 0.4, Batch Size 64, Epsilon: 0.61, ID: xe242445, penalty: 0.7, loss: 4.36, aantal experiences: 91907
Bezig: 88 sec, ETA: 512 sec, Simulatie: 3500, Validation: 2.9, Cijfer: -0.8, Batch Size 64, Epsilon: 0.59, ID: x746111, penalty: 0.8, loss: 3.57, aantal experiences: 98980
Bezig: 93 sec, ETA: 507 sec, Simulatie: 3750, Validation: 1.8, Cijfer: 2.2, Batch Size 64, Epsilon: 0.57, ID: x8484, penalty: 0.7, loss: 2.68, aantal experiences: 100000
Bezig: 98 sec, ETA: 502 sec, Simulatie: 4000, Validation: 3.2, Cijfer: 3.2, Batch Size 64, Epsilon: 0.55, ID: x548b, penalty: 0.2, loss: 3.5, aantal experiences: 100000
Bezig: 103 sec, ETA: 497 sec, Simulatie: 4250, Validation: 1.3, Cijfer: 7.6, Batch Size 64, Epsilon: 0.53, ID: x41524, penalty: 0.1, loss: 2.82, aantal experiences: 100000
Bezig: 108 sec, ETA: 492 sec, Simulatie: 4500, Validation: 1.5, Cijfer: 3.8, Batch Size 64, Epsilon: 0.51, ID: x1c814, penalty: 0.2, loss: 2.59, aantal experiences: 100000
Bezig: 113 sec, ETA: 487 sec, Simulatie: 4750, Validation: 1.9, Cijfer: 5.0, Batch Size 64, Epsilon: 0.49, ID: x229111181, penalty: 0.4, loss: 2.48, aantal experiences: 100000
Bezig: 118 sec, ETA: 482 sec, Simulatie: 5000, Validation: 2.4, Cijfer: 4.6, Batch Size 64, Epsilon: 0.47, ID: x8615193, penalty: 0.2, loss: 2.35, aantal experiences: 100000
Bezig: 123 sec, ETA: 477 sec, Simulatie: 5250, Validation: 2.5, Cijfer: 6.2, Batch Size 64, Epsilon: 0.45, ID: x28845, penalty: 0.2, loss: 1.66, aantal experiences: 100000
Bezig: 128 sec, ETA: 472 sec, Simulatie: 5500, Validation: 2.5, Cijfer: 4.4, Batch Size 64, Epsilon: 0.44, ID: x2718, penalty: 0.2, loss: 2.61, aantal experiences: 100000
Bezig: 132 sec, ETA: 468 sec, Simulatie: 5750, Validation: 2.1, Cijfer: 0.5, Batch Size 64, Epsilon: 0.42, ID: x2282813, penalty: 0.5, loss: 1.86, aantal experiences: 100000
