Bezig: 24 sec, ETA: 1776 sec, Simulatie: 250, Validation: 1.9, Cijfer: -1.7, Batch Size 64, Epsilon: 0.96, ID: x3c782421228, penalty: 0.5, loss: 6.65, aantal experiences: 7163
Bezig: 29 sec, ETA: 1771 sec, Simulatie: 500, Validation: -0.5, Cijfer: 1.4, Batch Size 64, Epsilon: 0.93, ID: x54c2122111, penalty: 0.5, loss: 6.29, aantal experiences: 14248
Bezig: 34 sec, ETA: 1766 sec, Simulatie: 750, Validation: -0.5, Cijfer: -4.2, Batch Size 64, Epsilon: 0.89, ID: x535221c43, penalty: 0.8, loss: 4.76, aantal experiences: 21324
Bezig: 39 sec, ETA: 1761 sec, Simulatie: 1000, Validation: 1.8, Cijfer: 3.3, Batch Size 64, Epsilon: 0.86, ID: x32586321, penalty: 0.3, loss: 4.68, aantal experiences: 28440
Bezig: 44 sec, ETA: 1714 sec, Simulatie: 1250, Validation: 1.4, Cijfer: -2.2, Batch Size 64, Epsilon: 0.83, ID: xd3343118c, penalty: 0.5, loss: 4.71, aantal experiences: 35489
Bezig: 49 sec, ETA: 1581 sec, Simulatie: 1500, Validation: -0.0, Cijfer: 3.9, Batch Size 64, Epsilon: 0.8, ID: x2efd17a1, penalty: 0.2, loss: 5.54, aantal experiences: 42582
Bezig: 54 sec, ETA: 1485 sec, Simulatie: 1750, Validation: 3.2, Cijfer: -0.4, Batch Size 64, Epsilon: 0.77, ID: x8e112d, penalty: 0.7, loss: 4.42, aantal experiences: 49630
Bezig: 59 sec, ETA: 1415 sec, Simulatie: 2000, Validation: 2.7, Cijfer: 1.5, Batch Size 64, Epsilon: 0.74, ID: x68d411, penalty: 0.4, loss: 5.26, aantal experiences: 56692
Bezig: 64 sec, ETA: 1355 sec, Simulatie: 2250, Validation: 1.8, Cijfer: 1.6, Batch Size 64, Epsilon: 0.71, ID: x31144421, penalty: 0.6, loss: 4.03, aantal experiences: 63771
Bezig: 69 sec, ETA: 1306 sec, Simulatie: 2500, Validation: 2.1, Cijfer: 3.9, Batch Size 64, Epsilon: 0.69, ID: x84812, penalty: 0.6, loss: 4.8, aantal experiences: 70815
Bezig: 74 sec, ETA: 1265 sec, Simulatie: 2750, Validation: 0.3, Cijfer: 1.4, Batch Size 64, Epsilon: 0.66, ID: x8221c1184, penalty: 0.5, loss: 3.89, aantal experiences: 77886
Bezig: 79 sec, ETA: 1231 sec, Simulatie: 3000, Validation: 3.3, Cijfer: -0.3, Batch Size 64, Epsilon: 0.64, ID: x593191211, penalty: 0.6, loss: 3.23, aantal experiences: 84992
Bezig: 84 sec, ETA: 1204 sec, Simulatie: 3250, Validation: 2.3, Cijfer: 2.4, Batch Size 64, Epsilon: 0.61, ID: x9158211411, penalty: 0.5, loss: 4.3, aantal experiences: 92080
Bezig: 89 sec, ETA: 1178 sec, Simulatie: 3500, Validation: 2.4, Cijfer: 1.9, Batch Size 64, Epsilon: 0.59, ID: x882411, penalty: 0.5, loss: 4.36, aantal experiences: 99230
Bezig: 94 sec, ETA: 1154 sec, Simulatie: 3750, Validation: 2.0, Cijfer: -1.4, Batch Size 64, Epsilon: 0.57, ID: x21b1217, penalty: 0.7, loss: 4.22, aantal experiences: 100000
