Bezig: 15 sec, ETA: 585 sec, Simulatie: 250, Validation: -2.6, Beloning: -4, Batch Size 64, Epsilon: 0.96, ID: xb28378121, penalty: 0.8, loss: 13.6, aantal experiences: 5773
Bezig: 20 sec, ETA: 580 sec, Simulatie: 500, Validation: 0.7, Beloning: -1, Batch Size 64, Epsilon: 0.93, ID: xf3235812, penalty: 0.5, loss: 4.59, aantal experiences: 11523
Bezig: 24 sec, ETA: 576 sec, Simulatie: 750, Validation: 0.1, Beloning: 2, Batch Size 64, Epsilon: 0.89, ID: x42212183, penalty: 0.6, loss: 1.72, aantal experiences: 17273
Bezig: 29 sec, ETA: 571 sec, Simulatie: 1000, Validation: -0.5, Beloning: 2, Batch Size 64, Epsilon: 0.86, ID: xf14e2, penalty: 0.4, loss: 0.85, aantal experiences: 23023
Bezig: 34 sec, ETA: 566 sec, Simulatie: 1250, Validation: 0.6, Beloning: 6, Batch Size 64, Epsilon: 0.83, ID: xb8c14e1, penalty: 0.1, loss: 0.97, aantal experiences: 28773
Bezig: 38 sec, ETA: 562 sec, Simulatie: 1500, Validation: 2.5, Beloning: -1, Batch Size 64, Epsilon: 0.8, ID: x91268a, penalty: 0.7, loss: 0.84, aantal experiences: 34523
Bezig: 43 sec, ETA: 557 sec, Simulatie: 1750, Validation: 2.3, Beloning: 1, Batch Size 64, Epsilon: 0.77, ID: xb9418143, penalty: 0.4, loss: 0.97, aantal experiences: 40273
Bezig: 48 sec, ETA: 552 sec, Simulatie: 2000, Validation: 2.4, Beloning: 7, Batch Size 64, Epsilon: 0.74, ID: x9c1541, penalty: 0.2, loss: 0.64, aantal experiences: 46023
Bezig: 52 sec, ETA: 548 sec, Simulatie: 2250, Validation: 0.7, Beloning: 3, Batch Size 64, Epsilon: 0.71, ID: x5216e1, penalty: 0.3, loss: 0.81, aantal experiences: 51773
Bezig: 57 sec, ETA: 543 sec, Simulatie: 2500, Validation: 2.7, Beloning: -2, Batch Size 64, Epsilon: 0.69, ID: x3a5843, penalty: 0.7, loss: 0.98, aantal experiences: 57523
Bezig: 62 sec, ETA: 538 sec, Simulatie: 2750, Validation: 2.0, Beloning: 4, Batch Size 64, Epsilon: 0.66, ID: xa418e2, penalty: 0.2, loss: 0.92, aantal experiences: 63273
Bezig: 66 sec, ETA: 534 sec, Simulatie: 3000, Validation: 1.1, Beloning: 1, Batch Size 64, Epsilon: 0.64, ID: x12841, penalty: 0.7, loss: 0.75, aantal experiences: 69023
Bezig: 71 sec, ETA: 529 sec, Simulatie: 3250, Validation: 1.0, Beloning: -1, Batch Size 64, Epsilon: 0.61, ID: xc281e1, penalty: 0.7, loss: 0.8, aantal experiences: 74773
Bezig: 76 sec, ETA: 524 sec, Simulatie: 3500, Validation: 1.5, Beloning: 2, Batch Size 64, Epsilon: 0.59, ID: x416, penalty: 0.5, loss: 0.84, aantal experiences: 80523
Bezig: 80 sec, ETA: 520 sec, Simulatie: 3750, Validation: 1.8, Beloning: 0, Batch Size 64, Epsilon: 0.57, ID: x2821c, penalty: 0.7, loss: 0.77, aantal experiences: 86273
Bezig: 85 sec, ETA: 515 sec, Simulatie: 4000, Validation: 1.2, Beloning: 0, Batch Size 64, Epsilon: 0.55, ID: x212182, penalty: 0.7, loss: 0.79, aantal experiences: 92023
Bezig: 90 sec, ETA: 510 sec, Simulatie: 4250, Validation: 1.5, Beloning: 3, Batch Size 64, Epsilon: 0.53, ID: x462161, penalty: 0.7, loss: 0.72, aantal experiences: 97773
Bezig: 94 sec, ETA: 506 sec, Simulatie: 4500, Validation: 2.3, Beloning: 3, Batch Size 64, Epsilon: 0.51, ID: x48822, penalty: 0.6, loss: 0.77, aantal experiences: 100000
Bezig: 99 sec, ETA: 501 sec, Simulatie: 4750, Validation: 0.6, Beloning: 2, Batch Size 64, Epsilon: 0.49, ID: x34821, penalty: 0.8, loss: 0.76, aantal experiences: 100000
Bezig: 103 sec, ETA: 497 sec, Simulatie: 5000, Validation: 0.0, Beloning: 2, Batch Size 64, Epsilon: 0.47, ID: x19121, penalty: 0.8, loss: 0.77, aantal experiences: 100000
Bezig: 108 sec, ETA: 492 sec, Simulatie: 5250, Validation: 2.8, Beloning: 1, Batch Size 64, Epsilon: 0.45, ID: x48411814, penalty: 0.7, loss: 0.71, aantal experiences: 100000
Bezig: 113 sec, ETA: 487 sec, Simulatie: 5500, Validation: 2.2, Beloning: 2, Batch Size 64, Epsilon: 0.44, ID: x8222121, penalty: 0.7, loss: 0.75, aantal experiences: 100000
Bezig: 118 sec, ETA: 482 sec, Simulatie: 5750, Validation: 3.5, Beloning: 3, Batch Size 64, Epsilon: 0.42, ID: x288162, penalty: 0.7, loss: 0.71, aantal experiences: 100000
Bezig: 122 sec, ETA: 478 sec, Simulatie: 6000, Validation: 2.7, Beloning: 3, Batch Size 64, Epsilon: 0.41, ID: x1461e1, penalty: 0.4, loss: 1.01, aantal experiences: 100000
Bezig: 127 sec, ETA: 473 sec, Simulatie: 6250, Validation: 2.4, Beloning: 4, Batch Size 64, Epsilon: 0.39, ID: x14114, penalty: 0.4, loss: 0.85, aantal experiences: 100000
Bezig: 132 sec, ETA: 468 sec, Simulatie: 6500, Validation: 2.8, Beloning: 6, Batch Size 64, Epsilon: 0.38, ID: xea14161, penalty: 0.2, loss: 0.77, aantal experiences: 100000
Bezig: 136 sec, ETA: 464 sec, Simulatie: 6750, Validation: 1.9, Beloning: 4, Batch Size 64, Epsilon: 0.36, ID: xbf62781e, penalty: 0.2, loss: 0.76, aantal experiences: 100000
Bezig: 141 sec, ETA: 459 sec, Simulatie: 7000, Validation: 3.4, Beloning: 5, Batch Size 64, Epsilon: 0.35, ID: x223a, penalty: 0.5, loss: 1.01, aantal experiences: 100000
Bezig: 146 sec, ETA: 454 sec, Simulatie: 7250, Validation: 2.9, Beloning: 3, Batch Size 64, Epsilon: 0.34, ID: x5112, penalty: 0.7, loss: 0.77, aantal experiences: 100000
Bezig: 150 sec, ETA: 450 sec, Simulatie: 7500, Validation: 3.1, Beloning: 4, Batch Size 64, Epsilon: 0.32, ID: x461c2, penalty: 0.3, loss: 1.02, aantal experiences: 100000
Bezig: 155 sec, ETA: 445 sec, Simulatie: 7750, Validation: 3.8, Beloning: 5, Batch Size 64, Epsilon: 0.31, ID: x4212, penalty: 0.4, loss: 0.63, aantal experiences: 100000
Bezig: 160 sec, ETA: 440 sec, Simulatie: 8000, Validation: 2.4, Beloning: 1, Batch Size 64, Epsilon: 0.3, ID: xd648c2, penalty: 0.6, loss: 1.11, aantal experiences: 100000
Bezig: 164 sec, ETA: 436 sec, Simulatie: 8250, Validation: 1.8, Beloning: 2, Batch Size 64, Epsilon: 0.29, ID: x8841c3, penalty: 0.5, loss: 0.56, aantal experiences: 100000
Bezig: 169 sec, ETA: 431 sec, Simulatie: 8500, Validation: 3.6, Beloning: 4, Batch Size 64, Epsilon: 0.28, ID: x8118, penalty: 0.6, loss: 0.69, aantal experiences: 100000
Bezig: 174 sec, ETA: 426 sec, Simulatie: 8750, Validation: 2.8, Beloning: 3, Batch Size 64, Epsilon: 0.27, ID: x21, penalty: 0.6, loss: 0.82, aantal experiences: 100000
Bezig: 178 sec, ETA: 422 sec, Simulatie: 9000, Validation: 2.2, Beloning: 2, Batch Size 64, Epsilon: 0.26, ID: xbc83782, penalty: 0.3, loss: 0.61, aantal experiences: 100000
Bezig: 183 sec, ETA: 417 sec, Simulatie: 9250, Validation: 2.8, Beloning: 4, Batch Size 64, Epsilon: 0.25, ID: x241842, penalty: 0.5, loss: 0.92, aantal experiences: 100000
Bezig: 188 sec, ETA: 412 sec, Simulatie: 9500, Validation: 2.7, Beloning: 3, Batch Size 64, Epsilon: 0.24, ID: x18443, penalty: 0.6, loss: 0.66, aantal experiences: 100000
Bezig: 193 sec, ETA: 407 sec, Simulatie: 9750, Validation: 3.6, Beloning: 2, Batch Size 64, Epsilon: 0.23, ID: x88843, penalty: 0.7, loss: 1.05, aantal experiences: 100000
Bezig: 197 sec, ETA: 403 sec, Simulatie: 10000, Validation: 2.9, Beloning: 6, Batch Size 64, Epsilon: 0.22, ID: x643821, penalty: 0.2, loss: 0.63, aantal experiences: 100000
Bezig: 202 sec, ETA: 398 sec, Simulatie: 10250, Validation: 3.4, Beloning: 3, Batch Size 64, Epsilon: 0.21, ID: xe31c1, penalty: 0.3, loss: 0.74, aantal experiences: 100000
Bezig: 206 sec, ETA: 394 sec, Simulatie: 10500, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.21, ID: x44, penalty: 0.8, loss: 0.6, aantal experiences: 100000
Bezig: 211 sec, ETA: 389 sec, Simulatie: 10750, Validation: 3.3, Beloning: 4, Batch Size 64, Epsilon: 0.2, ID: x482, penalty: 0.7, loss: 0.6, aantal experiences: 100000
Bezig: 216 sec, ETA: 384 sec, Simulatie: 11000, Validation: 2.7, Beloning: 3, Batch Size 64, Epsilon: 0.19, ID: x8212, penalty: 0.5, loss: 0.87, aantal experiences: 100000
Bezig: 221 sec, ETA: 379 sec, Simulatie: 11250, Validation: 3.6, Beloning: 4, Batch Size 64, Epsilon: 0.18, ID: x8822, penalty: 0.5, loss: 0.63, aantal experiences: 100000
Bezig: 225 sec, ETA: 375 sec, Simulatie: 11500, Validation: 3.8, Beloning: 5, Batch Size 64, Epsilon: 0.18, ID: xe2231c2, penalty: 0.2, loss: 0.98, aantal experiences: 100000
Bezig: 230 sec, ETA: 370 sec, Simulatie: 11750, Validation: 3.8, Beloning: 5, Batch Size 64, Epsilon: 0.17, ID: x5183, penalty: 0.3, loss: 0.73, aantal experiences: 100000
Bezig: 235 sec, ETA: 365 sec, Simulatie: 12000, Validation: 3.9, Beloning: 4, Batch Size 64, Epsilon: 0.17, ID: x442, penalty: 0.6, loss: 0.62, aantal experiences: 100000
Bezig: 239 sec, ETA: 361 sec, Simulatie: 12250, Validation: 3.1, Beloning: 3, Batch Size 64, Epsilon: 0.16, ID: xc21a2, penalty: 0.4, loss: 0.6, aantal experiences: 100000
Bezig: 244 sec, ETA: 356 sec, Simulatie: 12500, Validation: 3.6, Beloning: 3, Batch Size 64, Epsilon: 0.15, ID: x32, penalty: 0.6, loss: 0.61, aantal experiences: 100000
