Bezig: 28 sec, ETA: 572 sec, Simulatie: 250, Validation: 0.1, Beloning: -3, Batch Size 64, Epsilon: 0.96, ID: x78378181, penalty: 0.7, loss: 8.52, aantal experiences: 5773
Bezig: 32 sec, ETA: 568 sec, Simulatie: 500, Validation: 0.2, Beloning: 4, Batch Size 64, Epsilon: 0.93, ID: x48a248a, penalty: 0.4, loss: 1.04, aantal experiences: 11523
Bezig: 37 sec, ETA: 563 sec, Simulatie: 750, Validation: -0.7, Beloning: 2, Batch Size 64, Epsilon: 0.89, ID: x65a381c2, penalty: 0.5, loss: 0.86, aantal experiences: 17273
Bezig: 41 sec, ETA: 559 sec, Simulatie: 1000, Validation: 1.3, Beloning: 3, Batch Size 64, Epsilon: 0.86, ID: x54214, penalty: 0.3, loss: 0.86, aantal experiences: 23023
Bezig: 46 sec, ETA: 554 sec, Simulatie: 1250, Validation: -0.6, Beloning: 6, Batch Size 64, Epsilon: 0.83, ID: xd2812, penalty: 0.3, loss: 0.78, aantal experiences: 28773
Bezig: 50 sec, ETA: 550 sec, Simulatie: 1500, Validation: 0.6, Beloning: 1, Batch Size 64, Epsilon: 0.8, ID: x421c, penalty: 0.5, loss: 0.87, aantal experiences: 34523
Bezig: 55 sec, ETA: 545 sec, Simulatie: 1750, Validation: -0.5, Beloning: -2, Batch Size 64, Epsilon: 0.77, ID: x884158163, penalty: 0.7, loss: 0.88, aantal experiences: 40273
Bezig: 59 sec, ETA: 541 sec, Simulatie: 2000, Validation: 0.8, Beloning: 3, Batch Size 64, Epsilon: 0.74, ID: x21216, penalty: 0.4, loss: 1.07, aantal experiences: 46023
Bezig: 64 sec, ETA: 536 sec, Simulatie: 2250, Validation: 0.5, Beloning: 2, Batch Size 64, Epsilon: 0.71, ID: x8a22821, penalty: 0.6, loss: 0.73, aantal experiences: 51773
Bezig: 69 sec, ETA: 531 sec, Simulatie: 2500, Validation: 2.3, Beloning: -2, Batch Size 64, Epsilon: 0.69, ID: x4413142, penalty: 0.8, loss: 0.89, aantal experiences: 57523
Bezig: 73 sec, ETA: 527 sec, Simulatie: 2750, Validation: 0.6, Beloning: 3, Batch Size 64, Epsilon: 0.66, ID: x112481, penalty: 0.8, loss: 0.67, aantal experiences: 63273
Bezig: 78 sec, ETA: 522 sec, Simulatie: 3000, Validation: 2.3, Beloning: 1, Batch Size 64, Epsilon: 0.64, ID: x825812, penalty: 0.6, loss: 0.93, aantal experiences: 69023
Bezig: 83 sec, ETA: 517 sec, Simulatie: 3250, Validation: 2.7, Beloning: 2, Batch Size 64, Epsilon: 0.61, ID: x6912, penalty: 0.6, loss: 0.77, aantal experiences: 74773
Bezig: 87 sec, ETA: 513 sec, Simulatie: 3500, Validation: 2.1, Beloning: 2, Batch Size 64, Epsilon: 0.59, ID: x92218141, penalty: 0.5, loss: 1.0, aantal experiences: 80523
Bezig: 92 sec, ETA: 508 sec, Simulatie: 3750, Validation: 2.2, Beloning: 1, Batch Size 64, Epsilon: 0.57, ID: x512248, penalty: 0.8, loss: 1.01, aantal experiences: 86273
Bezig: 96 sec, ETA: 504 sec, Simulatie: 4000, Validation: 1.2, Beloning: 3, Batch Size 64, Epsilon: 0.55, ID: x8381, penalty: 0.4, loss: 0.69, aantal experiences: 92023
Bezig: 101 sec, ETA: 499 sec, Simulatie: 4250, Validation: 1.9, Beloning: 4, Batch Size 64, Epsilon: 0.53, ID: x88131, penalty: 0.5, loss: 1.05, aantal experiences: 97773
Bezig: 106 sec, ETA: 494 sec, Simulatie: 4500, Validation: 1.7, Beloning: 5, Batch Size 64, Epsilon: 0.51, ID: x12781e3, penalty: 0.1, loss: 0.85, aantal experiences: 100000
Bezig: 111 sec, ETA: 489 sec, Simulatie: 4750, Validation: 2.5, Beloning: 1, Batch Size 64, Epsilon: 0.49, ID: xc216, penalty: 0.6, loss: 0.89, aantal experiences: 100000
Bezig: 115 sec, ETA: 485 sec, Simulatie: 5000, Validation: 2.3, Beloning: 4, Batch Size 64, Epsilon: 0.47, ID: x14a512, penalty: 0.5, loss: 0.65, aantal experiences: 100000
Bezig: 120 sec, ETA: 480 sec, Simulatie: 5250, Validation: 2.3, Beloning: 6, Batch Size 64, Epsilon: 0.45, ID: x8241e3, penalty: 0.2, loss: 0.8, aantal experiences: 100000
Bezig: 124 sec, ETA: 476 sec, Simulatie: 5500, Validation: 3.2, Beloning: 1, Batch Size 64, Epsilon: 0.44, ID: xf822, penalty: 0.6, loss: 0.81, aantal experiences: 100000
Bezig: 129 sec, ETA: 471 sec, Simulatie: 5750, Validation: 1.6, Beloning: 3, Batch Size 64, Epsilon: 0.42, ID: x431c, penalty: 0.6, loss: 1.06, aantal experiences: 100000
Bezig: 133 sec, ETA: 467 sec, Simulatie: 6000, Validation: 2.9, Beloning: 6, Batch Size 64, Epsilon: 0.41, ID: xe1c3381e1, penalty: 0.1, loss: 0.91, aantal experiences: 100000
Bezig: 138 sec, ETA: 462 sec, Simulatie: 6250, Validation: -0.5, Beloning: 2, Batch Size 64, Epsilon: 0.39, ID: xf4a3781e3, penalty: 0.3, loss: 0.76, aantal experiences: 100000
Bezig: 143 sec, ETA: 457 sec, Simulatie: 6500, Validation: 0.7, Beloning: 3, Batch Size 64, Epsilon: 0.38, ID: x441, penalty: 0.6, loss: 1.08, aantal experiences: 100000
Bezig: 147 sec, ETA: 453 sec, Simulatie: 6750, Validation: 2.4, Beloning: 0, Batch Size 64, Epsilon: 0.36, ID: xdfe3781e1, penalty: 0.3, loss: 1.02, aantal experiences: 100000
Bezig: 152 sec, ETA: 448 sec, Simulatie: 7000, Validation: 2.1, Beloning: 1, Batch Size 64, Epsilon: 0.35, ID: xd211c3, penalty: 0.6, loss: 0.74, aantal experiences: 100000
Bezig: 156 sec, ETA: 444 sec, Simulatie: 7250, Validation: 2.4, Beloning: 2, Batch Size 64, Epsilon: 0.34, ID: xc221, penalty: 0.6, loss: 0.78, aantal experiences: 100000
Bezig: 161 sec, ETA: 439 sec, Simulatie: 7500, Validation: 0.6, Beloning: 3, Batch Size 64, Epsilon: 0.32, ID: x9181, penalty: 0.8, loss: 1.03, aantal experiences: 100000
Bezig: 166 sec, ETA: 434 sec, Simulatie: 7750, Validation: 3.6, Beloning: 2, Batch Size 64, Epsilon: 0.31, ID: x1418, penalty: 0.7, loss: 0.9, aantal experiences: 100000
Bezig: 170 sec, ETA: 430 sec, Simulatie: 8000, Validation: 0.6, Beloning: 0, Batch Size 64, Epsilon: 0.3, ID: xffe3381e3, penalty: 0.3, loss: 1.14, aantal experiences: 100000
Bezig: 175 sec, ETA: 425 sec, Simulatie: 8250, Validation: 1.1, Beloning: 5, Batch Size 64, Epsilon: 0.29, ID: xfe61381a3, penalty: 0.1, loss: 0.87, aantal experiences: 100000
Bezig: 180 sec, ETA: 420 sec, Simulatie: 8500, Validation: 1.9, Beloning: -4, Batch Size 64, Epsilon: 0.28, ID: x7fc2781e1, penalty: 0.5, loss: 1.16, aantal experiences: 100000
Bezig: 184 sec, ETA: 416 sec, Simulatie: 8750, Validation: 1.5, Beloning: 4, Batch Size 64, Epsilon: 0.27, ID: xfba3781e3, penalty: 0.1, loss: 1.1, aantal experiences: 100000
Bezig: 189 sec, ETA: 411 sec, Simulatie: 9000, Validation: -6.1, Beloning: -2, Batch Size 64, Epsilon: 0.26, ID: xffe2381c1, penalty: 0.4, loss: 1.03, aantal experiences: 100000
Bezig: 194 sec, ETA: 406 sec, Simulatie: 9250, Validation: 3.6, Beloning: -2, Batch Size 64, Epsilon: 0.25, ID: xdee378e3, penalty: 0.4, loss: 1.23, aantal experiences: 100000
Bezig: 198 sec, ETA: 402 sec, Simulatie: 9500, Validation: 1.2, Beloning: 0, Batch Size 64, Epsilon: 0.24, ID: xffe3781e3, penalty: 0.3, loss: 0.93, aantal experiences: 100000
Bezig: 203 sec, ETA: 397 sec, Simulatie: 9750, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.23, ID: xffe3781e3, penalty: 0.2, loss: 0.71, aantal experiences: 100000
Bezig: 207 sec, ETA: 393 sec, Simulatie: 10000, Validation: 3.0, Beloning: 3, Batch Size 64, Epsilon: 0.22, ID: xffe3781e3, penalty: 0.2, loss: 0.81, aantal experiences: 100000
