Bezig: 5 sec, ETA: 595 sec, Simulatie: 250, Validation: -2.6, Cijfer: 4.4, Batch Size 64, Epsilon: 0.96, ID: x33e228a, penalty: 0.3, loss: 4.49, aantal experiences: 5773
Bezig: 10 sec, ETA: 590 sec, Simulatie: 500, Validation: 0.1, Cijfer: 4.3, Batch Size 64, Epsilon: 0.93, ID: xc6278, penalty: 0.2, loss: 4.92, aantal experiences: 11523
Bezig: 14 sec, ETA: 586 sec, Simulatie: 750, Validation: 1.1, Cijfer: -2.9, Batch Size 64, Epsilon: 0.89, ID: x5483543, penalty: 0.7, loss: 4.27, aantal experiences: 17273
Bezig: 19 sec, ETA: 581 sec, Simulatie: 1000, Validation: -2.6, Cijfer: 4.4, Batch Size 64, Epsilon: 0.86, ID: x1211e, penalty: 0.2, loss: 3.08, aantal experiences: 23023
Bezig: 24 sec, ETA: 576 sec, Simulatie: 1250, Validation: -1.9, Cijfer: 0.1, Batch Size 64, Epsilon: 0.83, ID: x2d858122, penalty: 0.6, loss: 4.52, aantal experiences: 28773
Bezig: 28 sec, ETA: 572 sec, Simulatie: 1500, Validation: -0.3, Cijfer: 4.8, Batch Size 64, Epsilon: 0.8, ID: xdd42483, penalty: 0.1, loss: 3.64, aantal experiences: 34523
Bezig: 33 sec, ETA: 567 sec, Simulatie: 1750, Validation: 0.2, Cijfer: 1.8, Batch Size 64, Epsilon: 0.77, ID: x898184, penalty: 0.6, loss: 3.48, aantal experiences: 40273
Bezig: 37 sec, ETA: 563 sec, Simulatie: 2000, Validation: 2.1, Cijfer: 6.4, Batch Size 64, Epsilon: 0.74, ID: xa226, penalty: 0.1, loss: 3.94, aantal experiences: 46023
Bezig: 42 sec, ETA: 558 sec, Simulatie: 2250, Validation: 1.3, Cijfer: 2.7, Batch Size 64, Epsilon: 0.71, ID: x43a2e2, penalty: 0.3, loss: 2.99, aantal experiences: 51773
Bezig: 47 sec, ETA: 553 sec, Simulatie: 2500, Validation: 0.7, Cijfer: 1.2, Batch Size 64, Epsilon: 0.69, ID: x2c8813, penalty: 0.7, loss: 2.77, aantal experiences: 57523
Bezig: 51 sec, ETA: 549 sec, Simulatie: 2750, Validation: -0.8, Cijfer: 1.3, Batch Size 64, Epsilon: 0.66, ID: xe9144, penalty: 0.5, loss: 2.9, aantal experiences: 63273
