Bezig: 5 sec, ETA: 595 sec, Simulatie: 250, Validation: 2.5, Cijfer: 0.4, Batch Size 64, Epsilon: 0.96, ID: x5983742, penalty: 0.5, loss: 3.87, aantal experiences: 5773
Bezig: 10 sec, ETA: 590 sec, Simulatie: 500, Validation: -0.5, Cijfer: 0.1, Batch Size 64, Epsilon: 0.93, ID: x7117861, penalty: 0.5, loss: 4.08, aantal experiences: 11523
Bezig: 14 sec, ETA: 586 sec, Simulatie: 750, Validation: 2.9, Cijfer: 3.7, Batch Size 64, Epsilon: 0.89, ID: x43313, penalty: 0.5, loss: 3.9, aantal experiences: 17273
Bezig: 19 sec, ETA: 581 sec, Simulatie: 1000, Validation: 1.0, Cijfer: 1.4, Batch Size 64, Epsilon: 0.86, ID: x5e63581, penalty: 0.5, loss: 3.13, aantal experiences: 23023
Bezig: 23 sec, ETA: 577 sec, Simulatie: 1250, Validation: -2.6, Cijfer: 3.6, Batch Size 64, Epsilon: 0.83, ID: x26a36811, penalty: 0.4, loss: 4.18, aantal experiences: 28773
Bezig: 28 sec, ETA: 572 sec, Simulatie: 1500, Validation: 2.3, Cijfer: 3.8, Batch Size 64, Epsilon: 0.8, ID: x48814, penalty: 0.3, loss: 3.03, aantal experiences: 34523
Bezig: 32 sec, ETA: 568 sec, Simulatie: 1750, Validation: 1.2, Cijfer: 3.9, Batch Size 64, Epsilon: 0.77, ID: x21a4163, penalty: 0.3, loss: 3.38, aantal experiences: 40273
Bezig: 37 sec, ETA: 563 sec, Simulatie: 2000, Validation: -0.5, Cijfer: -0.5, Batch Size 64, Epsilon: 0.74, ID: x41e113, penalty: 0.7, loss: 2.57, aantal experiences: 46023
Bezig: 41 sec, ETA: 559 sec, Simulatie: 2250, Validation: 1.5, Cijfer: -0.6, Batch Size 64, Epsilon: 0.71, ID: x19c248182, penalty: 0.7, loss: 2.44, aantal experiences: 51773
Bezig: 46 sec, ETA: 554 sec, Simulatie: 2500, Validation: 0.6, Cijfer: 4.5, Batch Size 64, Epsilon: 0.69, ID: xe93162, penalty: 0.3, loss: 3.49, aantal experiences: 57523
Bezig: 50 sec, ETA: 550 sec, Simulatie: 2750, Validation: 0.2, Cijfer: 2.0, Batch Size 64, Epsilon: 0.66, ID: x35634121, penalty: 0.4, loss: 3.73, aantal experiences: 63273
Bezig: 55 sec, ETA: 545 sec, Simulatie: 3000, Validation: 2.9, Cijfer: 3.5, Batch Size 64, Epsilon: 0.64, ID: x82172, penalty: 0.5, loss: 3.36, aantal experiences: 69023
Bezig: 59 sec, ETA: 541 sec, Simulatie: 3250, Validation: 1.7, Cijfer: 3.7, Batch Size 64, Epsilon: 0.61, ID: xa12841, penalty: 0.3, loss: 2.43, aantal experiences: 74773
Bezig: 64 sec, ETA: 536 sec, Simulatie: 3500, Validation: 1.5, Cijfer: -2.0, Batch Size 64, Epsilon: 0.59, ID: xb8c1e3, penalty: 0.7, loss: 1.98, aantal experiences: 80523
