Bezig: 6 sec, ETA: 594 sec, Simulatie: 250, Validation: -3.4, Beloning: -2, Batch Size 64, Epsilon: 0.96, ID: x494427414, penalty: 0.7, loss: 7.35, aantal experiences: 7105
Bezig: 11 sec, ETA: 589 sec, Simulatie: 500, Validation: 0.7, Beloning: 0, Batch Size 64, Epsilon: 0.93, ID: xb81141613, penalty: 0.6, loss: 0.96, aantal experiences: 14203
Bezig: 16 sec, ETA: 584 sec, Simulatie: 750, Validation: 1.8, Beloning: 4, Batch Size 64, Epsilon: 0.89, ID: x1341541, penalty: 0.3, loss: 1.06, aantal experiences: 21298
Bezig: 21 sec, ETA: 579 sec, Simulatie: 1000, Validation: 1.4, Beloning: 5, Batch Size 64, Epsilon: 0.86, ID: xd941d, penalty: 0.3, loss: 1.13, aantal experiences: 28373
Bezig: 25 sec, ETA: 575 sec, Simulatie: 1250, Validation: 2.2, Beloning: 1, Batch Size 64, Epsilon: 0.83, ID: xcca1438227, penalty: 0.4, loss: 0.74, aantal experiences: 35478
Bezig: 30 sec, ETA: 570 sec, Simulatie: 1500, Validation: 2.1, Beloning: 5, Batch Size 64, Epsilon: 0.8, ID: x8c44412, penalty: 0.3, loss: 0.72, aantal experiences: 42558
Bezig: 35 sec, ETA: 565 sec, Simulatie: 1750, Validation: 3.1, Beloning: -3, Batch Size 64, Epsilon: 0.77, ID: xa7236d, penalty: 0.6, loss: 1.14, aantal experiences: 49689
Bezig: 40 sec, ETA: 560 sec, Simulatie: 2000, Validation: -0.1, Beloning: 2, Batch Size 64, Epsilon: 0.74, ID: x21d17451, penalty: 0.5, loss: 0.85, aantal experiences: 56761
Bezig: 45 sec, ETA: 555 sec, Simulatie: 2250, Validation: 1.3, Beloning: 7, Batch Size 64, Epsilon: 0.71, ID: xd7128224321, penalty: 0.1, loss: 0.81, aantal experiences: 63844
Bezig: 51 sec, ETA: 549 sec, Simulatie: 2500, Validation: 3.1, Beloning: 4, Batch Size 64, Epsilon: 0.69, ID: x9c41, penalty: 0.3, loss: 1.24, aantal experiences: 70869
Bezig: 56 sec, ETA: 544 sec, Simulatie: 2750, Validation: 3.3, Beloning: 4, Batch Size 64, Epsilon: 0.66, ID: xaa261841, penalty: 0.3, loss: 0.73, aantal experiences: 77880
Bezig: 61 sec, ETA: 539 sec, Simulatie: 3000, Validation: 2.0, Beloning: 6, Batch Size 64, Epsilon: 0.64, ID: x4a821313, penalty: 0.2, loss: 0.63, aantal experiences: 84957
Bezig: 66 sec, ETA: 534 sec, Simulatie: 3250, Validation: 1.2, Beloning: 5, Batch Size 64, Epsilon: 0.61, ID: x68c1814529, penalty: 0.2, loss: 0.69, aantal experiences: 92056
Bezig: 71 sec, ETA: 529 sec, Simulatie: 3500, Validation: 2.3, Beloning: 4, Batch Size 64, Epsilon: 0.59, ID: x9fa1b812154, penalty: 0.1, loss: 1.06, aantal experiences: 99122
